R,G,B,Skin_NonSkin
20,39,22,1
148,151,102,1
183,147,39,1
132,171,223,0
142,142,112,1
139,142,93,1
152,155,110,1
45,80,144,0
100,137,197,0
125,163,217,0
72,87,126,0
109,148,203,0
15,13,2,1
157,156,100,1
173,171,123,1
231,112,97,1
58,123,192,0
188,190,198,1
42,52,116,1
173,164,126,1
5,7,0,1
171,167,119,1
157,151,200,1
80,83,28,1
122,154,219,0
148,172,232,0
138,157,18,1
47,49,13,1
188,185,147,1
163,161,113,1
255,255,255,1
172,168,119,1
32,34,12,1
178,177,133,1
57,55,45,1
67,106,84,1
171,167,118,1
34,33,7,1
159,162,123,1
1,0,2,1
199,197,162,1
116,155,210,0
76,83,126,0
56,111,168,0
147,148,108,1
153,156,107,1
83,84,34,1
118,152,211,0
189,187,147,1
181,181,133,1
155,159,118,1
130,161,230,0
17,16,2,1
146,144,90,1
141,183,242,0
9,29,0,1
182,182,134,1
98,102,60,1
164,163,112,1
58,56,22,1
154,157,108,1
195,193,152,1
74,75,25,1
101,147,224,0
72,85,41,1
4,0,72,1
172,168,119,1
46,114,179,0
141,144,95,1
143,143,103,1
104,81,250,1
79,80,36,1
3,248,255,1
178,175,131,1
185,174,124,1
139,137,83,1
79,85,36,1
16,13,0,1
191,202,254,0
155,158,113,1
199,166,69,1
120,152,217,0
92,90,36,1
160,198,255,0
58,109,82,1
158,160,118,1
101,150,224,0
140,139,83,1
154,192,255,0
18,14,0,1
37,36,8,1
1,0,4,1
133,129,76,1
52,57,18,1
199,197,162,1
151,107,202,1
53,107,160,0
1,0,2,1
180,178,137,1
140,140,86,1
227,238,246,1
96,100,153,0
201,200,162,1
154,173,218,0
138,139,89,1
196,230,199,1
198,197,159,1
199,197,162,1
181,182,140,1
139,138,80,1
150,164,230,0
178,175,131,1
17,14,0,1
0,0,255,1
180,179,135,1
162,160,112,1
135,136,104,1
125,164,216,0
179,194,243,0
173,172,128,1
199,197,163,1
163,161,113,1
105,105,51,1
172,172,126,1
179,177,129,1
130,136,89,1
1,1,1,1
53,99,146,0
156,160,125,1
21,30,17,1
232,119,103,1
164,163,112,1
62,62,22,1
175,174,124,1
187,186,142,1
189,190,146,1
77,80,31,1
111,148,204,0
135,136,104,1
136,157,18,1
76,79,30,1
46,100,161,0
179,177,129,1
183,184,142,1
116,165,227,0
69,78,121,0
183,183,137,1
123,125,73,1
152,190,254,0
201,200,162,1
196,195,157,1
96,147,220,0
148,151,102,1
93,68,250,1
203,199,164,1
193,178,162,1
175,173,125,1
171,170,120,1
163,156,163,1
168,167,117,1
181,180,136,1
59,117,182,0
168,188,236,0
148,173,237,0
175,176,132,1
152,149,98,1
127,161,221,0
190,191,147,1
6,1,3,1
145,146,96,1
181,178,133,1
227,238,246,1
175,173,125,1
52,57,18,1
60,100,152,0
117,151,217,0
165,162,111,1
152,151,100,1
165,165,117,1
83,91,131,0
184,183,139,1
95,132,188,0
52,153,48,1
156,157,113,1
8,190,249,1
73,72,34,1
55,56,22,1
99,146,220,0
2,0,1,1
53,54,20,1
182,179,135,1
189,186,141,1
112,111,53,1
50,50,50,1
174,183,140,1
167,183,229,0
18,20,0,1
206,216,255,0
183,180,135,1
81,51,210,1
6,4,3,1
48,49,10,1
132,136,101,1
144,142,88,1
111,149,213,0
199,197,162,1
119,154,104,1
63,63,23,1
201,200,162,1
62,89,139,0
131,133,91,1
150,155,110,1
140,139,83,1
58,58,218,1
3,2,6,1
69,71,25,1
57,55,45,1
67,68,26,1
185,185,139,1
149,171,23,1
177,193,236,0
112,106,87,1
173,173,125,1
5,1,6,1
138,168,233,0
39,42,10,1
169,184,233,0
2,3,0,1
4,2,1,1
108,108,54,1
198,196,162,1
172,171,121,1
159,162,123,1
165,164,114,1
99,17,5,1
2,5,0,1
198,198,158,1
17,18,2,1
111,29,88,1
201,211,251,0
81,80,52,1
180,177,133,1
187,185,144,1
64,82,145,0
20,16,5,1
125,158,221,0
159,158,108,1
0,128,0,1
142,159,222,0
130,169,221,0
154,158,129,1
160,158,118,1
56,54,23,1
82,111,180,0
82,49,207,1
173,147,130,1
134,134,134,1
196,194,159,1
59,121,191,0
180,177,132,1
149,148,97,1
74,78,37,1
51,53,17,1
119,146,172,0
167,163,114,1
49,48,34,1
36,37,33,1
8,9,0,1
143,142,86,1
177,176,126,1
57,59,23,1
54,57,25,1
166,176,129,1
200,198,163,1
182,182,136,1
7,6,2,1
159,164,119,1
162,160,112,1
180,178,130,1
202,212,252,0
34,33,7,1
172,140,99,1
24,42,35,1
160,159,103,1
83,93,133,0
117,150,219,0
132,165,221,0
0,0,176,1
202,199,184,1
196,195,157,1
94,94,40,1
131,131,131,1
115,114,56,1
66,133,202,0
143,182,251,0
157,160,115,1
160,165,133,1
43,43,27,1
43,26,193,1
180,177,139,1
65,120,189,0
173,169,121,1
166,162,114,1
157,195,255,0
176,173,128,1
179,176,131,1
75,78,29,1
164,163,113,1
95,23,15,1
55,97,144,0
201,199,159,1
59,60,18,1
14,14,2,1
110,167,229,0
186,184,136,1
175,189,237,0
141,136,97,1
199,197,163,1
178,175,131,1
159,162,123,1
176,174,126,1
82,82,34,1
129,131,89,1
175,173,125,1
185,181,140,1
183,180,135,1
154,172,235,0
34,35,1,1
165,163,115,1
90,88,34,1
53,55,25,1
188,186,155,1
157,171,224,0
164,162,114,1
93,88,150,1
0,0,255,1
226,154,84,1
199,199,159,1
138,139,89,1
68,71,22,1
145,160,223,0
178,173,128,1
77,77,29,1
182,179,135,1
172,142,93,1
196,193,162,1
125,156,225,0
192,190,150,1
100,30,13,1
176,191,237,0
76,116,191,0
166,164,116,1
182,179,135,1
98,151,224,0
124,175,237,0
95,92,148,1
124,163,215,0
79,78,28,1
183,180,135,1
20,17,2,1
131,131,131,1
143,185,252,0
168,182,235,0
172,171,121,1
173,172,122,1
176,213,247,0
195,192,154,1
138,139,89,1
172,172,126,1
196,194,163,1
101,56,45,1
173,170,125,1
104,110,51,1
138,138,84,1
199,197,162,1
79,85,68,1
205,204,170,1
30,30,12,1
183,180,135,1
173,172,122,1
148,141,92,1
143,145,93,1
120,114,101,1
166,166,130,1
4,1,0,1
17,16,2,1
171,170,119,1
11,8,0,1
11,10,6,1
57,46,202,1
168,166,112,1
108,130,166,0
37,33,22,1
117,154,214,0
57,59,23,1
53,53,17,1
68,69,25,1
172,171,121,1
92,91,41,1
147,150,101,1
194,193,155,1
165,163,115,1
138,139,89,1
81,120,195,0
93,28,20,1
180,179,135,1
130,133,88,1
49,53,12,1
179,176,131,1
196,195,157,1
51,104,167,0
176,175,131,1
178,175,131,1
111,148,204,0
54,99,150,0
53,53,17,1
39,56,42,1
151,154,105,1
32,35,20,1
141,140,89,1
37,39,17,1
99,145,222,0
3,2,0,1
150,150,102,1
65,90,56,1
157,180,128,1
112,101,93,1
228,157,89,1
170,168,120,1
165,164,114,1
255,252,187,1
175,175,129,1
140,182,229,0
193,193,153,1
173,170,125,1
163,161,113,1
174,174,128,1
96,138,209,0
115,152,210,0
165,164,114,1
178,175,131,1
201,200,162,1
131,127,74,1
81,80,30,1
2,0,0,1
173,189,232,0
144,184,249,0
136,138,92,1
49,50,11,1
121,120,62,1
252,248,189,1
150,161,229,0
62,62,22,1
197,195,160,1
124,166,213,0
143,168,230,0
16,14,3,1
181,178,134,1
170,165,126,1
74,72,32,1
97,143,220,0
167,168,129,1
163,162,112,1
15,14,0,1
183,183,143,1
44,39,184,1
105,105,57,1
165,161,112,1
132,80,97,1
112,150,208,0
138,140,88,1
132,132,86,1
157,159,117,1
175,171,122,1
31,51,22,1
45,88,75,1
181,174,125,1
170,122,151,1
180,180,132,1
55,52,24,1
26,22,3,1
50,91,140,0
5,4,0,1
104,139,203,0
179,180,140,1
144,183,252,0
0,190,0,1
3,1,185,1
172,171,121,1
73,88,127,0
139,78,98,1
40,38,28,1
166,181,227,0
201,199,164,1
16,14,0,1
112,144,210,0
125,158,227,0
150,153,107,1
198,122,69,1
178,176,128,1
128,127,71,1
179,180,138,1
171,170,119,1
83,53,212,1
176,173,128,1
58,101,150,0
159,160,126,1
198,195,164,1
134,168,222,0
51,97,161,0
173,172,122,1
182,178,137,1
138,143,92,1
130,161,216,0
28,84,71,1
61,61,47,1
247,249,249,1
173,171,123,1
171,170,120,1
162,160,112,1
140,165,227,0
2,0,0,1
179,176,132,1
249,220,206,1
26,49,27,1
73,77,35,1
176,174,126,1
115,117,75,1
182,179,135,1
21,21,15,1
89,86,35,1
145,143,89,1
177,177,131,1
158,162,127,1
168,166,118,1
172,168,119,1
179,176,132,1
50,54,13,1
199,198,160,1
99,82,73,1
164,163,113,1
18,17,0,1
159,162,123,1
170,168,120,1
20,17,2,1
95,96,70,1
31,26,117,1
76,79,30,1
134,162,227,0
114,134,189,0
159,161,125,1
3,3,0,1
156,170,222,0
52,114,255,1
216,130,200,1
69,149,118,1
158,159,115,1
178,175,131,1
199,197,163,1
74,89,128,0
226,156,86,1
207,219,223,1
180,180,134,1
55,24,233,1
28,18,124,1
130,132,90,1
116,115,57,1
255,255,255,1
139,139,85,1
163,183,238,0
198,197,159,1
173,171,123,1
198,196,161,1
43,67,55,1
74,76,30,1
153,154,104,1
53,57,22,1
254,246,187,1
200,199,161,1
169,167,119,1
0,1,0,1
154,157,107,1
170,169,119,1
164,163,107,1
172,170,122,1
162,161,110,1
93,136,217,0
57,59,23,1
28,12,154,1
179,177,129,1
166,179,235,0
173,191,244,0
198,198,158,1
48,115,184,0
198,198,158,1
179,177,136,1
99,96,45,1
138,175,231,0
151,192,255,0
144,142,88,1
28,77,61,1
132,130,99,1
167,167,121,1
183,179,138,1
0,0,0,1
47,91,138,0
178,175,130,1
79,82,33,1
179,176,132,1
203,202,168,1
143,146,100,1
199,197,162,1
173,170,125,1
15,15,0,1
184,185,143,1
52,69,125,0
60,112,165,0
142,145,96,1
51,53,17,1
24,27,12,1
101,105,158,0
139,200,142,1
49,50,10,1
194,205,255,0
161,159,105,1
198,196,161,1
36,32,8,1
75,76,32,1
127,0,130,1
226,154,84,1
178,179,137,1
144,143,123,1
202,201,163,1
107,114,171,0
141,140,82,1
173,188,234,0
61,53,200,1
90,91,41,1
199,102,136,1
34,33,7,1
151,177,223,0
67,63,15,1
23,42,27,1
117,161,222,0
45,47,11,1
175,172,127,1
179,179,131,1
138,139,89,1
169,170,128,1
164,86,139,1
45,68,124,0
0,0,255,1
140,139,83,1
3,0,4,1
186,184,143,1
197,195,160,1
140,180,245,0
56,99,150,0
182,179,134,1
171,172,128,1
115,144,218,0
92,92,38,1
165,163,115,1
182,180,132,1
150,170,227,0
4,5,1,1
158,195,255,0
41,42,10,1
52,58,17,1
54,55,21,1
172,173,129,1
185,183,135,1
198,195,164,1
197,195,147,1
51,53,17,1
241,228,226,1
95,139,216,0
167,165,111,1
85,83,59,1
94,144,216,0
62,63,23,1
157,160,115,1
150,187,255,0
155,194,233,0
199,197,163,1
158,160,114,1
134,174,222,0
199,196,158,1
77,79,59,1
67,69,27,1
143,146,101,1
112,111,53,1
48,47,13,1
138,174,222,0
177,177,153,1
142,140,86,1
174,175,131,1
150,151,101,1
131,130,74,1
117,159,212,0
189,181,182,1
145,163,226,0
0,255,255,1
34,66,35,1
144,141,90,1
140,177,227,0
167,182,231,0
152,154,108,1
146,166,221,0
171,186,235,0
151,189,253,0
40,94,147,0
97,198,196,1
61,65,24,1
215,226,234,1
69,71,25,1
168,164,123,1
148,156,215,0
146,171,235,0
53,40,202,1
225,226,222,1
168,165,120,1
178,179,137,1
194,120,64,1
110,111,55,1
176,175,131,1
95,142,216,0
146,186,251,0
255,0,0,1
106,105,49,1
163,163,115,1
85,93,133,0
22,26,14,1
94,137,216,0
108,101,106,1
179,177,129,1
119,118,60,1
126,132,85,1
52,53,19,1
203,212,250,0
162,160,112,1
107,144,202,0
50,50,14,1
101,94,101,1
166,166,118,1
175,173,125,1
136,138,92,1
61,100,152,0
66,64,23,1
166,180,229,0
93,147,218,0
157,162,123,1
71,74,25,1
192,188,147,1
90,88,40,1
190,191,149,1
53,104,166,0
123,155,220,0
167,164,113,1
103,150,224,0
166,168,116,1
115,152,210,0
112,146,205,0
164,163,113,1
61,62,22,1
70,113,170,0
175,173,125,1
90,91,59,1
167,166,115,1
145,144,86,1
108,107,49,1
170,169,119,1
186,185,141,1
164,178,231,0
151,154,192,1
116,155,217,0
175,173,125,1
64,62,21,1
50,51,19,1
202,201,163,1
180,178,130,1
190,187,149,1
176,176,128,1
27,20,23,1
75,32,15,1
29,28,7,1
198,198,158,1
167,183,236,0
165,163,115,1
172,171,121,1
56,55,45,1
19,40,25,1
108,148,207,0
181,181,133,1
178,175,131,1
49,99,145,0
250,253,191,1
97,96,45,1
159,153,124,1
178,178,132,1
163,158,149,1
181,178,134,1
181,174,131,1
103,106,60,1
60,124,189,0
173,170,125,1
162,165,120,1
53,52,14,1
151,189,253,0
192,193,151,1
48,100,146,0
153,159,124,1
199,197,162,1
5,5,5,1
199,200,158,1
60,106,170,0
136,173,223,0
165,164,114,1
0,194,0,1
128,128,128,1
70,74,22,1
221,148,80,1
132,136,94,1
151,154,105,1
30,31,5,1
23,24,22,1
69,69,21,1
164,162,114,1
96,145,219,0
43,104,160,0
54,57,25,1
198,195,164,1
157,161,125,1
40,41,7,1
172,170,122,1
178,179,137,1
160,158,104,1
32,33,7,1
127,129,87,1
166,166,118,1
178,178,132,1
47,47,33,1
68,70,24,1
139,139,85,1
56,61,22,1
40,108,255,1
119,120,70,1
169,168,118,1
199,199,159,1
77,125,203,0
44,44,30,1
175,174,124,1
169,167,133,1
134,137,92,1
152,77,145,1
106,92,104,1
43,37,238,1
120,119,61,1
123,161,215,0
189,190,156,1
184,186,140,1
143,184,247,0
84,82,58,1
109,108,57,1
121,162,217,0
59,55,60,1
140,138,84,1
7,35,16,1
154,158,123,1
0,186,1,1
145,157,221,0
104,153,221,0
179,176,132,1
129,133,92,1
20,17,2,1
180,178,130,1
151,169,228,0
143,141,87,1
145,157,221,0
182,179,135,1
181,181,141,1
178,178,132,1
115,146,209,0
12,9,4,1
53,53,17,1
200,198,163,1
182,179,135,1
142,183,246,0
76,118,171,0
181,179,131,1
151,154,105,1
163,163,115,1
126,136,243,1
124,82,70,1
96,143,197,0
105,108,59,1
169,183,236,0
53,58,19,1
158,119,44,1
179,176,131,1
62,128,193,0
90,68,247,1
137,140,91,1
5,5,0,1
158,157,101,1
173,176,184,1
180,180,132,1
49,49,13,1
117,119,73,1
169,171,125,1
105,106,72,1
195,194,156,1
99,142,223,0
159,161,119,1
56,86,81,1
123,124,62,1
159,191,232,0
51,52,18,1
243,248,251,1
168,166,112,1
183,179,138,1
138,141,92,1
151,154,108,1
174,177,131,1
76,78,32,1
161,165,124,1
164,194,241,0
167,181,230,0
97,143,197,0
0,32,130,1
42,43,9,1
165,165,117,1
16,14,3,1
196,195,157,1
107,84,116,1
136,140,193,0
6,3,0,1
52,56,21,1
132,135,79,1
197,198,166,1
29,23,16,1
171,170,120,1
104,127,177,0
159,163,128,1
48,46,11,1
174,190,232,0
248,239,235,1
54,111,172,0
113,165,231,0
149,190,253,0
190,177,131,1
173,172,122,1
176,174,126,1
117,153,207,0
136,161,225,0
173,172,122,1
170,169,118,1
68,70,24,1
10,10,4,1
138,129,216,1
199,197,163,1
199,197,163,1
83,84,34,1
251,253,254,1
138,139,89,1
68,72,31,1
163,163,115,1
189,191,162,1
165,166,116,1
164,160,112,1
89,161,125,1
65,128,186,0
195,194,156,1
160,164,128,1
63,68,23,1
117,120,70,1
118,120,174,0
197,197,157,1
188,182,141,1
104,153,223,0
202,201,163,1
114,113,57,1
105,108,58,1
166,181,230,0
140,140,94,1
139,140,90,1
139,139,85,1
182,184,125,1
63,64,24,1
114,148,207,0
55,105,157,0
2,3,0,1
175,172,127,1
96,191,206,1
186,185,141,1
119,154,218,0
168,165,120,1
117,155,219,0
206,216,255,0
15,18,0,1
80,88,128,0
182,181,137,1
158,165,228,0
58,56,46,1
178,194,240,0
34,19,157,1
18,15,0,1
175,173,125,1
157,171,220,0
255,255,128,1
88,92,141,0
22,12,232,1
95,92,41,1
82,82,34,1
167,167,119,1
58,121,189,0
71,93,135,0
61,65,24,1
135,138,89,1
3,184,2,1
184,182,134,1
178,178,132,1
164,160,112,1
108,211,206,1
79,80,30,1
222,205,72,1
161,160,150,1
153,173,228,0
190,189,151,1
112,111,53,1
67,68,52,1
112,153,215,0
177,174,129,1
83,129,213,0
140,136,87,1
20,18,0,1
157,159,117,1
178,175,131,1
96,30,19,1
56,54,24,1
131,164,227,0
182,179,135,1
174,175,131,1
173,173,137,1
250,251,187,1
134,174,223,0
3,2,0,1
39,39,175,1
41,97,68,1
92,187,243,1
172,183,241,0
1,2,0,1
54,101,152,0
13,13,1,1
176,177,135,1
200,195,162,1
96,147,220,0
15,13,3,1
108,113,68,1
181,178,134,1
42,34,181,1
20,17,2,1
179,177,129,1
140,141,91,1
59,32,242,1
4,181,7,1
80,164,82,1
180,177,133,1
182,180,132,1
118,150,209,0
122,126,74,1
167,163,114,1
114,112,104,1
173,172,122,1
146,185,253,0
157,160,111,1
16,15,1,1
201,200,162,1
136,134,80,1
129,162,218,0
97,101,154,0
219,207,201,1
183,183,137,1
140,143,93,1
77,80,31,1
195,193,153,1
175,172,127,1
183,181,133,1
162,164,122,1
255,253,255,1
0,128,0,1
177,174,130,1
44,1,0,1
86,88,36,1
22,11,157,1
118,154,218,0
201,199,164,1
196,194,159,1
95,88,149,1
122,121,63,1
22,166,14,1
182,178,137,1
92,90,36,1
129,132,87,1
153,191,255,0
158,157,101,1
199,197,163,1
156,159,120,1
198,198,158,1
197,196,158,1
255,237,238,1
190,188,148,1
165,165,119,1
216,221,224,1
182,179,134,1
88,85,34,1
199,197,162,1
56,103,157,0
150,188,253,0
92,95,110,1
63,109,86,1
62,17,6,1
81,132,202,0
103,148,205,0
138,157,18,1
161,180,223,0
163,162,112,1
182,175,132,1
168,165,114,1
164,163,112,1
42,43,11,1
50,122,192,0
164,163,113,1
122,138,77,1
175,173,125,1
98,109,161,0
74,144,255,1
205,204,170,1
177,174,129,1
74,74,26,1
142,142,88,1
0,255,255,1
157,159,117,1
201,199,164,1
146,166,231,0
14,14,8,1
123,157,223,0
37,0,148,1
140,158,221,0
194,92,117,1
86,89,39,1
198,198,158,1
191,190,152,1
63,68,23,1
139,142,93,1
175,175,129,1
179,177,129,1
175,191,238,0
72,75,25,1
183,177,134,1
178,174,133,1
203,212,255,0
123,129,88,1
164,163,113,1
34,51,40,1
89,137,215,0
153,191,255,0
198,198,158,1
145,146,96,1
123,161,215,0
125,164,216,0
175,191,238,0
90,135,216,0
202,201,163,1
173,187,240,0
165,164,114,1
198,198,158,1
167,165,111,1
54,107,164,0
178,175,131,1
158,162,127,1
194,193,155,1
178,176,128,1
76,69,52,1
14,14,0,1
184,183,139,1
135,147,151,1
165,180,229,0
99,146,220,0
128,130,88,1
177,178,136,1
108,145,201,0
50,52,16,1
174,170,122,1
70,113,170,0
172,188,235,0
63,124,198,0
172,170,122,1
132,134,188,0
105,153,225,0
17,18,8,1
139,142,96,1
92,29,15,1
180,178,137,1
171,185,238,0
110,167,228,0
163,162,112,1
91,35,10,1
70,134,198,0
145,147,95,1
147,191,252,0
132,140,99,1
68,69,25,1
134,134,134,1
183,181,133,1
63,64,30,1
176,174,126,1
75,91,128,0
201,200,162,1
184,200,243,0
181,178,133,1
90,28,12,1
57,59,23,1
130,134,163,1
146,64,52,1
154,156,110,1
163,162,112,1
18,0,200,1
157,169,233,0
178,175,131,1
115,114,56,1
145,142,91,1
38,0,142,1
164,163,113,1
93,169,88,1
76,79,30,1
69,71,25,1
104,255,232,1
107,145,217,0
53,55,13,1
183,183,137,1
165,163,115,1
17,8,189,1
135,173,221,0
135,124,140,1
223,223,223,1
92,138,216,0
202,200,160,1
77,109,174,0
200,199,161,1
174,172,124,1
122,122,108,1
81,82,32,1
186,185,141,1
197,196,158,1
244,232,228,1
172,171,121,1
226,68,45,1
31,30,2,1
134,157,19,1
180,180,132,1
178,177,133,1
166,182,235,0
165,163,115,1
253,255,255,1
105,108,163,0
37,96,255,1
108,58,76,1
176,175,125,1
243,232,228,1
103,159,86,1
115,131,190,0
237,223,217,1
3,1,0,1
181,181,133,1
192,205,255,0
79,84,129,0
54,108,163,0
25,26,22,1
149,189,254,0
48,88,136,0
79,91,131,0
182,179,134,1
178,178,132,1
100,158,230,0
172,175,125,1
122,154,213,0
13,12,2,1
133,7,132,1
136,138,102,1
42,110,177,0
138,138,84,1
52,153,48,1
80,177,235,1
171,188,245,0
46,45,11,1
166,166,118,1
109,93,110,1
150,190,255,0
43,90,144,0
112,146,205,0
164,163,113,1
116,154,212,0
155,156,106,1
15,16,7,1
62,124,188,0
238,244,249,1
188,189,147,1
29,30,14,1
199,197,162,1
55,57,21,1
55,105,158,0
153,159,118,1
155,157,121,1
98,128,193,0
185,186,142,1
103,142,194,0
68,69,25,1
158,161,116,1
1,1,1,1
12,13,3,1
164,163,113,1
124,158,224,0
90,27,13,1
19,17,7,1
198,124,68,1
171,169,121,1
94,69,243,1
55,57,21,1
58,110,170,0
172,171,121,1
16,14,3,1
75,91,128,0
132,139,88,1
56,104,156,0
153,189,225,0
78,89,127,0
202,200,165,1
80,83,33,1
184,181,136,1
156,159,113,1
152,156,115,1
82,90,130,0
68,44,204,1
192,192,152,1
137,175,223,0
110,159,27,1
199,195,160,1
28,28,4,1
125,127,85,1
179,177,129,1
155,154,98,1
113,145,211,0
160,171,229,0
200,209,252,0
150,146,93,1
61,26,247,1
178,175,130,1
84,90,131,0
197,208,252,0
9,16,1,1
153,191,255,0
248,250,250,1
170,169,119,1
147,93,214,1
172,169,124,1
58,118,188,0
16,13,0,1
200,200,160,1
66,71,50,1
34,36,6,1
10,25,158,1
197,195,155,1
118,120,68,1
174,170,129,1
175,170,137,1
204,203,169,1
200,210,250,0
105,146,208,0
203,202,168,1
61,60,32,1
53,105,165,0
138,139,89,1
181,179,138,1
65,66,26,1
70,75,24,1
159,161,125,1
176,175,125,1
88,137,213,0
155,160,128,1
132,129,74,1
201,199,164,1
179,176,131,1
179,176,131,1
21,19,18,1
133,135,89,1
47,39,169,1
89,93,142,0
159,162,123,1
205,204,170,1
83,119,189,0
44,45,11,1
1,2,0,1
164,163,113,1
129,171,216,0
103,106,61,1
92,90,36,1
19,19,3,1
118,122,173,0
159,157,126,1
178,177,127,1
167,165,111,1
148,165,216,0
108,187,114,1
199,210,254,0
151,138,230,1
66,65,27,1
155,159,118,1
110,143,163,0
172,170,122,1
172,170,122,1
118,151,220,0
22,23,3,1
40,91,154,0
62,57,26,1
159,163,122,1
97,28,18,1
133,172,224,0
61,65,24,1
85,85,61,1
203,213,253,0
166,165,115,1
128,167,219,0
170,171,121,1
65,66,24,1
178,175,131,1
106,90,107,1
56,25,234,1
112,65,81,1
197,196,162,1
173,175,123,1
160,156,168,1
116,152,222,0
126,110,117,1
173,172,122,1
64,130,201,0
132,159,215,0
163,166,127,1
104,149,206,0
56,98,145,0
134,145,153,1
180,177,132,1
200,198,163,1
62,85,133,0
134,160,230,0
173,172,121,1
94,123,198,0
204,203,169,1
165,163,115,1
119,170,32,1
206,205,171,1
199,199,159,1
29,27,16,1
146,144,90,1
158,162,126,1
198,198,158,1
179,175,134,1
201,211,251,0
51,93,138,0
172,171,121,1
158,159,115,1
175,175,129,1
159,160,128,1
142,181,226,0
28,115,195,1
140,139,81,1
180,177,132,1
199,198,160,1
152,190,254,0
230,161,98,1
51,93,138,0
183,181,133,1
95,29,18,1
55,56,22,1
75,83,123,0
94,92,38,1
178,175,131,1
50,49,15,1
174,172,131,1
171,185,238,0
181,178,134,1
130,130,90,1
176,177,135,1
151,150,94,1
175,172,127,1
66,122,177,0
193,192,154,1
179,177,129,1
98,145,219,0
171,170,120,1
167,187,228,0
126,126,126,1
172,171,121,1
39,90,133,0
153,155,103,1
74,84,124,0
33,52,31,1
232,102,85,1
96,100,65,1
57,60,21,1
145,146,96,1
196,195,157,1
190,188,148,1
158,195,255,0
202,200,165,1
52,56,20,1
35,34,8,1
55,59,23,1
179,176,131,1
11,6,7,1
174,169,124,1
170,170,122,1
13,12,158,1
154,157,108,1
60,61,21,1
129,163,217,0
155,185,240,0
116,117,67,1
147,144,223,1
115,157,210,0
103,104,48,1
163,179,225,0
28,56,33,1
178,174,125,1
161,160,109,1
59,25,233,1
129,130,86,1
182,180,132,1
126,172,220,0
199,197,163,1
52,54,18,1
180,178,137,1
200,198,163,1
154,142,136,1
108,136,213,0
198,198,158,1
201,200,162,1
200,198,163,1
197,197,157,1
255,254,255,1
185,184,140,1
66,68,22,1
182,179,134,1
164,180,227,0
183,182,138,1
135,131,82,1
134,137,98,1
174,172,124,1
163,161,113,1
133,136,97,1
122,158,218,0
17,15,4,1
54,102,154,0
188,189,145,1
181,178,134,1
195,193,152,1
195,194,156,1
57,59,39,1
179,177,129,1
186,180,137,1
155,152,101,1
63,64,20,1
180,177,133,1
186,180,137,1
114,15,101,1
67,65,30,1
163,161,113,1
178,194,237,0
178,176,128,1
116,154,218,0
53,95,142,0
136,169,219,0
66,75,54,1
181,181,135,1
53,97,150,0
179,183,171,1
145,145,105,1
106,120,232,1
188,186,145,1
202,201,163,1
38,37,9,1
93,88,150,1
150,147,92,1
131,7,131,1
185,184,140,1
197,140,195,1
199,197,163,1
0,0,0,1
60,62,20,1
169,168,118,1
190,190,150,1
79,53,201,1
8,10,0,1
88,88,48,1
253,255,255,1
181,179,131,1
186,184,143,1
108,144,220,0
101,160,230,0
162,160,112,1
199,197,162,1
119,117,63,1
165,163,115,1
170,169,119,1
53,108,165,0
140,162,228,0
199,197,162,1
57,57,57,1
179,180,138,1
199,198,160,1
198,212,254,0
151,147,99,1
172,141,96,1
53,57,22,1
199,198,164,1
182,183,141,1
202,200,165,1
220,114,120,1
183,180,136,1
110,158,216,0
103,154,224,0
47,91,138,0
63,61,20,1
91,92,53,1
29,30,10,1
137,169,128,1
80,81,31,1
54,104,157,0
49,101,154,0
145,143,89,1
42,123,250,1
182,171,127,1
37,38,36,1
149,104,197,1
189,175,126,1
152,187,251,0
199,197,162,1
87,139,216,0
179,177,129,1
17,8,188,1
114,152,216,0
53,57,22,1
156,180,222,0
155,159,123,1
0,0,4,1
255,255,248,1
62,66,24,1
77,78,34,1
64,63,25,1
15,13,13,1
172,171,121,1
197,196,158,1
182,183,141,1
247,237,237,1
178,175,131,1
140,138,84,1
45,46,12,1
203,201,161,1
173,171,123,1
241,120,76,1
55,33,212,1
203,201,167,1
13,15,3,1
171,187,233,0
18,16,5,1
24,26,4,1
165,164,114,1
255,131,110,1
162,182,237,0
180,181,139,1
193,197,186,1
52,98,145,0
138,139,89,1
4,183,4,1
101,100,44,1
63,97,86,1
157,112,91,1
142,145,96,1
35,37,7,1
179,178,144,1
163,164,114,1
173,172,122,1
103,143,208,0
200,198,163,1
121,122,72,1
167,163,114,1
111,154,217,0
108,111,61,1
114,113,55,1
172,171,121,1
25,19,0,1
52,53,19,1
149,147,89,1
130,163,219,0
8,7,3,1
114,157,220,0
114,117,172,0
164,162,114,1
3,1,0,1
62,60,36,1
14,24,12,1
101,150,224,0
96,145,219,0
33,59,45,1
252,254,254,1
191,190,199,1
146,182,228,0
57,117,183,0
38,35,30,1
158,156,138,1
138,178,227,0
187,187,139,1
172,171,120,1
132,133,93,1
102,136,189,0
194,205,255,0
86,63,245,1
201,200,162,1
5,3,0,1
167,181,230,0
131,165,219,0
67,70,38,1
132,85,4,1
142,183,246,0
167,184,235,0
94,143,217,0
169,169,121,1
177,174,123,1
45,102,158,0
166,167,125,1
129,0,127,1
52,103,166,0
163,163,115,1
220,220,220,1
180,178,130,1
170,166,125,1
227,216,88,1
128,255,255,1
